icd10_code,text
E,catalasa defectos peroxidasa
F,abstinencia cocaina
P,estreptococo difficilis grampositivos bacteria superreino estreptococo gpc cocos
U,seccion osea pulmon
M,derecha
L,nodulo prurigos prurigos
A,nodular lepromatosa lepra tipo ll
R,puntuacion
Q,ambos
A,infeccion faringe chlamydias chlamydozoon psittaci a
J,reagudizado reagudizada
P,diabetico sacarina mellitus
P,adquirida droga activador activador upplasminogeno cid malformacion desfibrinacion recien nacido veneno
U,covid
B,herpes externa
J,traqueotomia tras
G,derecho
K,hepatorrenal posintervencion
F,inducido alucinogenos psicosis abuso alucinogenos
G,neuropatico sensorial motora polineuropatia inflamatoria
W,larga telescopica
S,no abierta traumatismos especificada
R,inconsciente ocular
J,catarro agudo nasal comun supurativa
U,afeccion pos
O,complicaciones trabajo parto parto
Z,ambos ovario falopio
K,proctitis ulcerosa cronica
L,lado manos
L,ulceracion escayola izquierdo
D,talasemia falciforme crisis otra complicacion especificada
O,trimestre diamniotico dicorionico gemelar
I,extradural flebotrombosis embolo superiores ambos
O,otras v multiple primero complicaciones gestante especificadas feto
E,sindrome hunter
M,rodilla hidrartrosis intermitente izquierdo
N,disfuncion
O,gestacion gemelar placentario saco amniotico
S,heridas abdominal pared abierta
O,dos
F,significantly body restrictivo dangerously low type restrictivo restricting weight nervosa
H,bilateral queratitis filamentosa filamentosa
O,feto papiraceo ii trimestre feto
C,organos neoplasias biliar maligna digestivos
L,estadio espalda ulcerativa superior izquierda
K,sanguineo
L,no ulceras presion parte cronico osea afectacion especificada
B,protozoos protozoaria
Z,tratado sintrom
R,liquido dialisis
R,bulto izq flanco cuadrante
K,maligna fibrosis
E,diabetico insipida
E,deficiencia transaminasa gaba aminobutirico
G,congenita musculares distrofico distrofia
Z,vancomicina resistente a
L,musculo codo subyacentes derecho subyacentes presion codo presion tendon ulceracion necrosis hueso alcanza tendon codo lesion blando tejidos blandos
R,sensibilidad abdominal derecho
L,escara cama
Q,inversion ventricular transposicion corregida ventricular
K,periodontitis
K,reflujo esofagico
R,ronquera
C,lma t15 17 variantes lma m3
F,ansiedad conocida a sindrome
O,complica afecciones t7431 t7631
J,radiacion a cronicas manifestaciones otros debidas pulmonares
S,traumatismo
G,otro malformacion sueñovigilia especificado sanguinea osea
S,completa no muslo
P,necrotizante i perforacion enterocolitis perforacion neumatosis
P,complicacion anfetaminas
J,agudas inducidas
C,neoplasia maligna localizaciones contiguas bronquio pulmon
N,uretral contusion estenosis
Q,ehlers danlos sindrome
U,lesion pulmon asociada uso productos cigarrillos electronicos vapeo evali daño pulmon relacionada cigarrillo electronico lesiones pulmon relacionada dabbing
G,irritacion atrofica
N,glandula abceso
M,lesion disco cervical region cervical no
I,cronica fibrilacion
D,crisis vasooclusivo
M,derecha primaria artrosis
C,linfogranuloma linfogranulomatosis
L,izquierdo presion
D,trombocitopenico inducida
M,fracturas fatiga fractura marcha fractura estres izquierda
E,neom secuela
U,sistema relacionado pulmonar vapeo
K,canino a seccion
S,anterior torax pared constriccion externo
N,vulvovaginitis vaginitis
M,osificacion tipos
K,tamaño dientes perlas concrescencia macrodoncia
Y,utilizara actividad garaje
H,bilateral espontanea rotura
R,anuria oliguria
G,ncoc neurologico artritico neurogena sifilitica
B,oncocercosis
G,cubital nervio
N,estenosado uretra hombre localizaciones contiguas
R,masa axilar
Y,inicial contacto civil
U,covid 19
L,androgenica
F,primeras fases niñez
S,izquierdo
Q,vena arteriovenosa fusiforme
Z,afecciones clasificables c25 maligna
M,tenonitis tenovaginitis capsula
C,colon intestinal angulo carcinoma esplenico neoplasia primario angulo adenocarcinoma neoplasia
G,complejo complejas psicomotriz refractario
N,renal pielectasia toxico
G,dientes incisivo rechinamiento bruxismo
I,complicado septal
Z,trasplantada ho hueso tejido
J,bronquitis tabique l5 bronquio
C,melanoma infiltracion
H,izquierdo estable queratocono ojo corneales queratocono izquierda
M,diatesis a
G,epilepsia sindromes epilepticos generalizados idiopaticos caracter intratable
U,19 covid pos
T,corrosion grado
E,tetania
O,parto fetal atencion obstetrica listadas afecciones observacion estrecho madre cesarea atencion inicio pelvico cabeza hospitalizacion trabajo parto razon materna
B,complicacion rubeola neurologica
Q,iniencefalo iniencefalia iniencefalia
G,multiple poliradiculitis
R,estertores
B,enfermedades lutz
E,graso esenciales age
R,esteril
K,ileitis enfermedades enteritis
H,patron oi
N,trastornos menopausicos otros trastornos perimenopausicos debidos cambios menopausicos perimenopausicos naturales relacionados edad
Q,translocaciones inserciones menos brazo entero duplicado
I,hta
I,cerebrovascular trastorno paresia izquierda tras otro enfermedad
S,s pies abierta derecho
Z,contacto izquierda brazo colocacion ajuste artificial completo
I,varicosas inflamacion venoso e ulcera
S,brazo distension izquierdo musculo tendon triceps
R,puntuacion escala verbal comatoso coma v
I,izquierdo tras cerebrovascular inferiores extremidad secuelas
O,atencion trimestre materna feto 5 otros
M,otros uso derecho hombros blandos
R,sintomas funciones persistente emocional conducta percepcion signos vegetativo
L,flemon bacteria
Z,s extraccion
S,posterior torax extraño
S,a articulares completa amputacion nivel
E,moderada inducida diabeticos sustancia farmaco edematizacion macular
V,furgoneta vuelco
K,ruptura perforacion
S,izquierda traumatismos mano dedo muñeca
U,covid 19
Q,individuo anormal
N,uretra prostatica falsa
R,inconsciente ambulancia
A,viral fiebre nilo occidental neurologica
N,schimmelbusch bloodgood reclus
T,extraño laringe
H,inflamatorio cornea derecho
J,a neumonias gripe a identificado nueva virus gripe
J,traqueitis tabique
Z,atmosferica t50 7 t36 infestacion
V,inicial baja motociclista
J,traqueitis aguda
A,lyssa
P,trauma parto braquial contusion trauma paralisis nacimiento nacimiento miembros superior izquierdo plexo
O,retenida placentario retenida
U,secuela covid 19
C,maligna conducto pancreatico
F,trastorno neurocognitivo grave enfermedades vascular alteracion conducta demencia vasculares comportamiento violento
I,yugular vena embolismo derecha cronicas trombo vena interna interna venosa yugular
I,arteria coronarias injertos derivacion arterioesclerosis s
U,secuela covid
R,hiponasalidad
Z,profilactica mamario organos admision extraccion
H,elefantiasis filarica
B,escleritis zoster herpes
G,atrofias mixedema sistemicas nervioso mixedema afectan
J,erroneamente intoxicacion adverso posanestesica administrada
Z,contacto
R,sensorial
M,enfermedades concepto trastorno musculo otro derecha clasificadas pierna
G,neuritis optica desmielinizante optica
G,diseminada
U,afeccion covid pos 19
N,hipertrofia labios
J,agudo amigdalitis
F,volar
H,derecho superior
J,neumonia organizada neumonitis intersticial inespecifica
M,fractura patologica enfermedad neoplasica femur secuelaneoplasia
J,sustancia pulmoninflamacion b
U,daño pulmon relacionada cigarrillo electronico daño pulmon relacionado cigarrillo electronico lesion pulmon asociada tratamiento productos cigarrillos electronicos vapeo evali
C,maligna nervios neoplasia perifericos
M,izquierdo inflamado
R,ambulancia escala localiza mejor
O,microorganismo toxemia bacteriana
P,semanas recien 35 completas edad pretermino 35
N,otros bulbar
F,maniacodepresiva deprimido psicoticos
G,parkinsonismo vasculares
J,singer nodulos nodosa cantantes corditis nodo maestros maestro nodulo
G,demencia degenerativa primaria l
O,reproductiva obstetrica otra trimestre supervision deficiente embarazo
I,tumoracion inflamatoria izquierda
A,microorganismo vulvovaginitis reino protista parasito tricomonas
U,covid 19 secuela
N,ovario atrofia adquirida
H,mucosa aguda recurrente serosa sanguinolenta subaguda otitis oido alergia
E,hipovitaminosis
G,inferiores ambas nervio
J,traqueostomia estoma
D,anemia normocitica normocromica hemolitica adquirida
M,escoliosis toracogena
D,carcinoma in izquierdo mama situ intraductal
A,inflamatorio mtb
G,sustancia alcoholico bebiendo sustancia esqueletico miopatia sistema trastorno liso toxica
S,especificados no
S,fractura
F,hiperactividad atencion tipo
G,hemiplejia a afecta lado no
E,cushing iatrogenica cushingoide facies esteroides adrenocortical inducido
J,cronico neumotorax cronico
U,cronica covid enfermedades sindrome severo 19
Z,derecho articulares artificial presencia
F,ansiolitico bipolar lesion consumo sedantes hipnoticos ansioliticos moderado trastorno depresivo inducido sedantes hipnoticos ansioliticos
Y,choque
N,inflamatoria
Z,lugar vivos nacimiento
O,inmunologica afecciones enumeradas complican gestacion ven agravadas razon atencion obstetrica
Q,duplicacion meato orina
R,puntuacion 12 escala glasgow
O,atencion materna hidropesia fetal
Q,laringocele laringocele
O,trabajo parto prematuro parto
O,complicaciones maternas derivadas administracion anestesia general regional local analgesia u otra sedacion embarazo analgesia
N,deformidad trastorno minima
M,trastorno maxilomandibular articular izquierda disco osteoarticulares
O,a presentacion mala trabajo parto
M,sinovitis toxica izquierda
G,sindromes monoplejia paralitico
Z,carcinoide tumor riñon c7a093
K,volvulo intestinal
U,19 miocarditis distres respiratorio
A,asintomatica neurosifilis
S,esguince derecha pies
F,opioides
T,compuestos inicial contacto
E,cdgs
S,dedos traumatica desarticulacion
Y,lugar externo acontecimiento secundaria
L,talon vias derecho
M,derecho escafoides farmacos necrosis
I,periferica vaso ocluido
Q,hernia diafragmatica diafragmatica
U,relacionado malformacion
J,diafragmitis masa tejido blando congenita
J,neumonitis microorganismo
U,vapeo trastorno
B,histoplasmosis americana
E,farmaco
O,trastornos especificados ii liquido membranas otros
P,neonatal cerebro irritabilidad irritabilidad
R,a periumbilical doloroso
L,tejido izquierdo lesiones profundo agente presion
Q,malformacion vitreo congenita humor
G,metabolica septica
E,diabetica quimica farmaco inducida proliferativa macular izq
Z,infeccioso poliomielitis poliomielitis
Z,total cadera parcial sustitucion articulacion
O,aumento aumento aumento
O,complica puerperio tuberculosis
Y,operacion perdigones
M,subluxacion intervertebrales superior osea
R,lugar flexion coma ambulancia motora retirada mejor servicio escala emergencias
U,covid inflamacion consolidacion virus
J,silice ganister
G,crisis epilepticas epilepticas crisis ausencias mioclonicas
L,impetigo
Q,blando hendido paladar leporino labio
P,afectado consumo recien adictivas nacido materno
C,malignas parpado
F,intoxicacion otro consumo
R,otros ruidos
U,covid 19 linfocitopenia covid19 coronavirus
Q,defecto radio
U,secuela covid19
N,estrechez constriccion estenosis uretral poscateterizacion espasmodica
H,ojos heterocromica
P,recien nacido pigmentacion
C,neoplasia incluyendo maligna palpelbrales inferior derecho
F,despersonalizacion desrealizacion sindrome despersonalizacion
H,quiste vejiga bilateral
S,codo parcial amputacion a
R,hostilidad
R,coma ojos ingreso
J,adenoiditis adenoides
F,estimulantes estimulante sexual inducida disfuncion
O,prolongado
V,otro vehiculo lesionado
L,sacro presion region 3 estadio
L,sindrome
R,alucinacion tactil
V,colision accidente lesionado pedales contacto pies a inicial peaton
N,unilateral cicatriz
S,contusion muñeca manos dedo izquierdo
L,linfatico inflamacion linfatico inflamado
K,hepatico vesicula
T,implantes vasculares vasculares cardiacos perforacion mecanica otros dispositivos implantes dispositivos cardiacos obstruccion otros
M,letal letal gangrenoide
K,gastritis desangrado
O,cuadruple monoamnioticos
U,pos secuela causada
V,contacto lesionado colision inicial tranvia
O,peso gestacion insuficiente aumento
H,marginal izquierda angularis
L,ampollosos otros penfigoide tipos
L,cuero cabelludo trastorno abscesos cabeza cabeza
J,palatina hipertrofia
U,metabolico respiratoria
F,mayor depresivo
F,abuso sedantes
M,contacto izquierdo metastasis osea
Z,rh sanguineo
L,escara cama ulcera escayola derecho
R,inconsciencia comatoso
R,hiperuricosuria
S,oido extraño izquierda
O,consecuencias trimestre otras
T,inicial izquierda
K,pancreatica enfermedades
R,2 ingreso 25
Q,megalencefalia observacion cuero cabelludo region megalencefalia
R,dolorido
U,19 covid linfocitopenia covid19
O,cavidad trimestre
Z,instrucciones formacion alumbramiento
F,alcoholismo agudo embriaguez
H,trompa obstruccion
E,enfermedad krabbe
G,oftalmoplejica migrañas intratable oftalmoplejica
J,traqueitis agudo
E,ulcus
R,alteracion coordinacion
I,defecto adquirido cardiaco tabique
W,dispositivos inicial contacto
O,a parto iii feto trabajo obstruido facial
U,covid 19
M,trauma
R,radiologia pielograma
H,glaucoma traumatismo estadio secundario izquierdo
Q,diafragmatica congenito hernia
H,00 h53 ambos
U,vapping
U,covid afeccion 19 pos
K,insuficiencia hepatica
P,estafilococo
L,darier reumatico centrifuga centrifugo
S,trauma derecho
O,trimestre gestacional
P,nacimiento contusion a frenico
K,vascular ureteral transitorio transitoria
S,femur fractura cabelludo izquierdo articular
J,calcificado calcificacion microlitiasis
F,social fobia
H,secundaria externa inflamacion estenosado adquirida derecho infeccion e conducto auditivo
K,restauracion dental defectuosa sobremordida restauracion diente irreparable
M,articulacion artropatia
K,desprendimiento traumaticat79 columna neurogena complica aorto miocardico
O,gestacion trimestre
V,accidente persona
G,trastorno retraso fase sueño inversion ritmo sueño retraso
U,daño pulmon relacionada dabbing daño pulmon relacionado cigarrillo electronico lesiones pulmon asociada terapia productos cigarrillos electronicos vapeo evali
S,harris derecho
X,comprimido disparo agresion aire contacto
N,microorganismo calcificada superreino agente infeccioso necrosis medular papilar agudo analgesico cronica
U,coronavirus genero covid 19
K,perdida adquirida incisivos parcial
R,cuello secrecion hallazgos astenospermia anormales uterino frotis
E,especificados especificado
Q,hallux accesorio
M,osteoartritis
G,cronico trauma seccion
A,marburg enfermedad enfermedades marburg
A,diarreica terminal echovirus enterovirus virica ncoc torovirus regional echo
H,macula central izquierdo macular retinianas
F,osea neom transfusion
I,proximal venas flebotrombosis
A,virales otras meningitis
L,iii espalda estadio
Q,transposicion dextrocardia
J,cronico laringitis
O,feto tercer gestacion fetos otro despues
S,transversa
G,macrohidrocefalo
L,trofica extremidad ulcera izquierda
K,melenas hematoquecia
L,ulcerativa presion vias cicatriciales otros sitios
F,trastorno
D,hiperostosis interna extremidad largos derecha condroma neoplasia huesos
O,amniotica iv no
S,menor izquierda
L,lado
U,pos 19 covid afeccion
E,ojo mellitus sustancia proliferativa inducida quimica derecho farmaco
T,ciento superficie afectada involucra quemadura llamaradiacion superficie involucre corporal
V,transporte contacto jinete accidente lesionado
L,trofica ulcus izquierda
I,inflamacion venosa cronica idiopatica extremidad
M,vertebral
J,inflamado erroneamente anestesia
R,concepto bajo componente cefalea
U,secuela covid
T,inicial grado superior tercero extremidad hombro
O,trimestre anemia normocitica 2o gestacion complica
G,dcha ciatico ciatica
W,resbalon sumersion contacto provocando golpe
H,izquierdo dacriolito
O,siameses obstruido anormalidad parto obstruido parto
Q,dextrocardia
J,espontaneos neumotorax secundario
Y,militar
P,transitoria
Q,calcaneovalgo pies
I,pierna derecha aterosclerosis ulcera localizacion
Q,microqueilia microqueilia
D,falciforme cero hbsbeta
E,mellitus retinopatia
O,parcial previa urogenital
K,prolapso completo rectal invaginacion
L,linfangitis abdominal pared abdominal
J,neumonica humano
U,afeccion 19 pos covid
B,estrongiloidiasis
L,tejido destruccion izquierdo escapula
J,neumonitis streptococcus pneumoniae
G,abdomen
O,papiraceo primer feto
N,teste apendicular
I,desangrado sanguineo
H,globo alergica ambos osea
L,derechos
Q,paladar submucoso bucal paladar cavidad hendido oculto duro
Q,vagina vaginal
S,anterior externa
E,tuberoso hereditaria betalipoproteinemia
M,vaina brazo izquierda
I,venosa e ulcera inferiores inflamacion extremidad varicosas derecho
H,malformacion laberintica meniere hidropesia vertigo dcho
G,duramadre
R,causa mortalidad muerte sin explicacion
S,menor izquierdo s pies
I,superior dominante monoplejia hemorragia izquierdo subaracnoideo tras
V,snowboard contacto caida
R,escala momento coma respuesta mejor
I,secuela
P,deposiciones melenicas heces melenicas
K,ulcerosa cronica proctitis proctitis
E,sobreproduccion acth
R,respiracion dolorosa costocondral pleuritico dolor anterior toracica
U,coronavirus covid sarscov2 sindrome superior coronavirus sarscov2 virus 19 asintomatico respiratorio
R,bence
M,inflamacion inflamatorio izquierda
M,osteoporosis fractura osteoporosis fractura actual fracturas actual involutiva senil patologica patologica patologica osteoporotica actual
G,insomnio
Z,anteriores horas administacion ultimas previas antelacion posadministracion rtpa
L,no presion tobillo especificado
Q,trastorno
Q,deformidad congenito aparato respiratorio ausencia congenita vias respiratorias
F,abuso estimulante alteracion
G,nasal parte quistica suprarrenal glandula parte extradural abceso cerebeloso venosa cerebral fistuloso septico granuloma supurativo temporoesfenoidal
K,ulceroso marginal ulceras erosion peptico gastroyeyunal ulcus erosion peptico gastrointestinal
U,pulmonar trastorno sanguinea
N,congestiva periprostatitis
F,lesion animo sintetica causados
R,sustantancia concluyentes adictiva
U,secuela co vid 19
O,humana virus enfermedad hiv
M,ataque gota gota agudo
R,respuesta estimulacion nerviosa
A,gripe fiebres fiebre artropodos transmitida fiebre virales bunyavirus fiebre persistente phlebotomus pappataci
L,divieso tronco foliculitis tronco
U,pos 19 afeccion covid
G,comicial intratable crisis
J,a respiratorio afeccion vapores quimicos humos
J,a bronquiolitis asociada
F,relacionada relacionados
V,inicial pies electrico
C,maligna neoplasia
Z,sospecha tipo contacto fetales maternas afecciones administrativo categoria observacion utiliza judicial
C,malignas derecha falopio trompa
D,fusiformes fetal benigna
V,sube persona camioneta lesionada baja coche colision
Z,desavenencia discordia asesores
C,localizaciones maligna
F,alucinaciones afeccion
Z,t50con
U,covid 19
J,catarral traqueitis virica aguda aguda traqueitis agudo traqueitis
R,movimientos normales espontaneos ii años edad puntuacion 6 escala coma motora
C,linfoma t organos extraganglionares solidos cutaneo localizaciones celulas
D,situ in bronquio
T,izquierda axila
L,ulcera izquierda sinus neom tropical cutaneos
F,trastorno consumo anfetamina u otro estimulante ligero intoxicacion anfetamina u otro estimulante deficit percepcion
U,relacionado
G,epileptico ausencias intratable sindrome
I,comunicante posterior arterial hemorragias subaracnoideo
N,iga recidivante
O,congenito displasia
Q,vesical extrofia
I,trombosis venas bilateral inferiores embolia agudas extremidad profundas
Q,anomalia congenito cara cuello
Z,muñeca desarticulacion derecha muñeca
F,ansiedad otra sustancia dependencia
D,izquierdo conducta incierto
F,sindrome institucional desinhibido desinhibido
S,derecha traumatica parcial
N,benigna caruncula uretral inflamacion polipos
L,colageno vasculares colagenosis colagenosis
L,parapsoriasis grandes
G,bajo miopatia otro
M,femur amilofagia oseas no
J,bronquitis bronquitis catarral
G,medica afeccion hipersomnia medica a
H,exudado externo
M,bajo partes extraño blandas concepto otro granuloma cuerpo
P,hemorragia fetal afectado recien nacido cordon seccion seccion
Z,utilice categoria codigo adicional identificar resultado parto informe madre
M,otro enfermedades artropatias derecha bajo pie otras
H,ojo izquierda
H,izquierdo lente corneales a contacto trastorno globo ocular
N,prolapse repetitivo
U,covid
O,trabajo feto
B,herpes ojo zoster
K,periodontales perdida perdida i premolar superior derecho
A,ganglio ulcerosa circunscrita
B,hemorragico suprimido sarampion
L,atricosis androgenica pelo
F,inducido osea
V,a otra inicial otro accidente ahogamiento embarcacion contacto
P,diabetica preexistente diabetica mellitus
K,causa ausencia completa clase dientes
O,trimestre venosa
A,infeccion viral nervioso sistema central
C,medio tumor timpanico tumor oido auditiva antro maligna
K,deslizamiento indirecta ambos
M,izquierdo juvenil
C,multiples localizaciones
Q,grueso ciego
R,masa localizados superior derecha masa
K,ano crohn
L,ulcera cronica superficie plantar mediopie
S,daño
H,fistula via lacrimal lacrimal
J,perifaringeo retrofaringeo parafaringeo perifaringeo retrofaringeo posfaringeo
H,optico drusas nervio ojo
S,hemoneumotorax hematotorax hemotorax
H,ambos
C,lennert t
Q,perineal hipospadias
L,cronica parte ulcera otra
G,sindromes cefalea periodica niño adulto migraña refractaria
Z,trasplantada corneales
H,quemosis izquierdo
Q,extremidad izquierda superior
Z,indice masa corporal 19
S,fracturas izquierda
M,doloroso dolorido
Q,oculares oculares marfan
G,a dcha
O,renal embarazo relacionada trimestre 1er enfermedad
Q,cromosoma traslocacion
F,trastorno neurocognitivo importante inducido enolica tipo sindrome consumo
J,cruposa implicacion lobulos
I,otros afectacion derecha infarto
Z,coclear implantado auditivo
N,hemorragia cistostomia
S,abierta mama picadura
Y,lugar privada causa movible externa lugar casa acontecimiento
Q,lateral curvatura
N,calculos orina
E,transfusion
G,perdida fuerza completa incompleta excepto aquella bajo g80g82 derecha
P,1999 1750
M,concepto monoartritis otro pie bajo
Q,dextrocardia
R,inespecificos propios lactante
K,obstruccion esfinter estrechez obstruido perianal pectenosis
I,intermitente pierna izquierdo tipo extremidades
M,fractura marcha fractura estres
N,estenosis uretra mujer
M,artropatias tobillo derechos otras reactivas
K,absceso parte intestino diverticulitis perforacion
